,polygon_id,leafing,latin,date,area,tag,iou,score
135,0e6d3e00-7797-46fb-b57c-039aca5ce308_2023-05-23,99,Ceiba pentandra,2023_05_23,1047.7926357199105,007772,0.960676862,0.977710009
136,0e6d3e00-7797-46fb-b57c-039aca5ce308_2023-06-13,97,Ceiba pentandra,2023_06_13,1101.2903178903548,007772,0.970762092,0.998042464
137,0e6d3e00-7797-46fb-b57c-039aca5ce308_2023-09-12,97,Ceiba pentandra,2023_09_12,1101.9433354911755,007772,0.926035409,0.999213457
138,0e6d3e00-7797-46fb-b57c-039aca5ce308_2023-09-19,97,Ceiba pentandra,2023_09_19,1108.062202,007772,0.946204656,0.980597734
139,0e6d3e00-7797-46fb-b57c-039aca5ce308_2023-10-31,95,Ceiba pentandra,2023_10_31,1083.975703459678,007772,0.912971218,0.975401878
147,0fae064a-282a-4ca5-ae26-2e31937efe07_2023-06-13,30,Luehea seemannii,2023_06_13,266.85061551111505,004806,0.855410749,0.98731643
148,10eb53e8-c12d-4bb2-8204-508dab1244d8_2023-09-12,90,Virola surinamensis,2023_09_12,193.41000152144102,008391,0.795058779,0.993248165
154,131edf4c-b018-40a7-a803-0c76df88dc1d_2023-05-23,0,Myrospermum frutescens,2023_05_23,157.1345179928772,004869,0.963800905,0.975893259
179,1ca8e05b-fedf-4c65-9445-66f028d65389_2023-06-13,10,Luehea seemannii,2023_06_13,329.9566927865704,001293,0.955304617,0.97305572
182,1dc4dc9a-4beb-4e3f-bfa5-42a6f781ec91_2018-04-25,10,Handroanthus guayacan,2018_04_25,128.4322112780101,000308,0.946797473,0.965045094
191,235e2657-ac67-414b-b234-5012879cb398_2022-04-27,0,Hieronyma alchorneoides,2022_04_27,205.06072923261902,003971,0.879755368,0.991272569
192,24a5f646-9ef6-4e62-89fe-963cd03a3d0f_2018-04-25,0,Cavanillesia platanifolia,2018_04_25,291.86027560636734,049526,0.911058197,0.993107677
197,24cce01e-e10b-4fa8-8fd6-c9e6b402c2e7_2023-10-31,97,Aspidosperma desmanthum,2023_10_31,314.6844087,002560,0.856930763,0.959902763
202,26816bfa-00c5-4284-b3dd-5db7924e9790_2020-08-01,20,Tabebuia rosea,2020_08_01,176.25381748901594,003677,0.837397572,0.981545329
203,26b43ba8-6072-44c4-bbda-66bb6d5183d3_2023-04-04,5,,2023_04_04,126.3563668361243,000000,0.956286239,0.983889341
213,2b3739ec-df0d-4fda-9346-367b6186fa3d_2023-10-31,10,Jacaranda copaia,2023_10_31,121.29268758490849,008278,0.933366172,0.98580718
219,2bbdf792-0d37-4808-9457-254f37e8aaf5_2023-04-04,3,Hura crepitans,2023_04_04,319.1052261206471,005573,0.938859131,0.977995515
239,30acca04-8b20-457e-8d35-e35bd1894756_2023-03-21,95,Ochroma pyramidale,2023_03_21,311.4538503731779,821506,0.89819912,0.989689708
240,30acca04-8b20-457e-8d35-e35bd1894756_2023-05-02,95,Ochroma pyramidale,2023_05_02,302.4355046554924,821506,0.876009248,0.981145501
244,31cb4ec2-1f18-4516-9fdd-5e1e7bfb81de_2018-04-04,0,Cavanillesia platanifolia,2018_04_04,235.3940569235917,002741,0.647639194,0.967136621
254,31d95e2f-f47b-49c9-ba99-46e69ba579b5_2022-11-24,90,Cavanillesia platanifolia,2022_11_24,395.0319786598224,003654,0.936152346,0.978397965
263,34f872ff-ab16-4ea9-88a1-52bc896248d6_2018-04-04,0,Spondias radlkoferi,2018_04_04,190.9868288997674,007823,0.873964442,0.975094557
270,38121f47-2c1d-4bea-9992-3181860f0122_2019-05-31,3,Cordia alliodora,2019_05_31,59.047821702312596,007935,0.769231797,0.98861587
279,39cb82d4-bb06-497c-baa7-1b8628973ae7_2019-04-24,98,Brosimum alicastrum,2019_04_24,449.57265866188607,008296,0.844922622,0.989209712
285,39fb15b5-a33a-494c-a45d-dbd5962f314b_2022-04-27,25,Platypodium elegans,2022_04_27,215.68673725539085,003252,0.772438265,0.971189857
293,3a755a8d-bee8-42d8-a3ed-6ab5cbefee43_2022-04-27,85,Poulsenia armata,2022_04_27,135.2822948,001122,0.868565691,0.908737302
302,3b4679bd-76b6-43fe-b740-9f274fea7195_2018-04-25,95,Dipteryx oleifera,2018_04_25,479.59928135192104,003711,0.949552544,0.973692894
310,3b4679bd-76b6-43fe-b740-9f274fea7195_2023-03-07,55,Dipteryx oleifera,2023_03_07,440.32377640404735,003711,0.881850626,0.979532599
318,3b4679bd-76b6-43fe-b740-9f274fea7195_2024-01-03,96,Dipteryx oleifera,2024_01_03,558.5585542,003711,0.949623099,0.985462844
319,3b4679bd-76b6-43fe-b740-9f274fea7195_2024-02-08,65,Dipteryx oleifera,2024_02_08,450.00021761950916,003711,0.912832142,0.990087509
320,3b4679bd-76b6-43fe-b740-9f274fea7195_2024-02-15,75,Dipteryx oleifera,2024_02_15,447.42470807709674,003711,0.91973739,0.974317789
321,3b915ee0-2ab3-481d-9082-c5a3be5c4022_2022-11-24,95,Sterculia apetala,2022_11_24,334.23634468442845,003337,0.919163345,0.99245131
324,3bcbd33f-0d46-459c-8905-28081ca87b8c_2019-05-31,100,Dipteryx oleifera,2019_05_31,408.9200279489056,001441,0.95256413,0.989617407
325,3bcbd33f-0d46-459c-8905-28081ca87b8c_2023-06-13,95,Dipteryx oleifera,2023_06_13,484.35524002267454,001441,0.965098446,0.984627366
339,3f544aec-53a0-40db-aab1-b4fea03493b8_2022-03-30,99,Jacaranda copaia,2022_03_30,262.9416501208447,005309,0.777965793,0.978438973
343,40d6b26a-b55d-43ef-97ea-dbcbcb4a5693_2018-08-27,100,Prioria copaifera,2018_08_27,179.4193787056139,006989,0.934732741,0.976962805
352,4235b0fd-3816-43e8-9a6b-9302609c1e2e_2018-08-27,50,Trichilia tuberculata,2018_08_27,88.43462932462923,006795,0.681428229,0.988413692
353,4495b044-8a40-4d5a-892e-3fa089b58f53_2023-11-27,20,Ceiba pentandra,2023_11_27,262.7436121232669,005213,0.868556329,0.970671415
361,4609c8ec-d624-42a5-a2e8-3c86d86d8c3b_2023-03-07,90,Hura crepitans,2023_03_07,437.0373612,001823,0.95520628,0.980701089
364,4609c8ec-d624-42a5-a2e8-3c86d86d8c3b_2024-02-08,99,Hura crepitans,2024_02_08,503.29681276795804,001823,0.88818887,0.977861881
370,46f61b1f-704d-4a43-9cc8-85bac4432a3f_2024-02-15,995,Jacaranda copaia,2024_02_15,227.1780189891752,004364,0.857117673,0.969264448
382,4a1431a3-07aa-4221-a614-eec52bb2f69d_2023-03-07,95,Zanthoxylum panamense,2023_03_07,215.0834830487053,295666,0.942667363,0.969630599
385,4a53dc7a-d0da-44a1-841e-f309b6ae3ccc_2022-11-24,10,Spondias mombin,2022_11_24,211.17654881728575,171940,0.940270039,0.95249927
416,4c8542e8-ec9d-4d89-bc3d-1d15b96cc9a7_2024-02-15,80,Hura crepitans,2024_02_15,720.0042073935863,001955,0.901601471,0.980289578
417,4e481c36-9f3b-4d3c-9ffd-cc9a678fadcb_2018-04-25,40,Prioria copaifera,2018_04_25,253.93853809481956,004583,0.970454956,0.976719975
418,4e481c36-9f3b-4d3c-9ffd-cc9a678fadcb_2020-08-01,60,Prioria copaifera,2020_08_01,238.30978558952003,004583,0.929122945,0.987704754
421,517e446d-8a3e-46ce-a240-23189bfeb6ea_2023-05-23,20,Trichilia tuberculata,2023_05_23,160.81091567612432,005357,0.858632873,0.98055315
435,52755a20-8e62-401e-92b1-2a0329412d05_2018-04-04,15,Zanthoxylum panamense,2018_04_04,82.54731512162186,263071,0.79382039,0.94844687
440,52f1f550-4e8b-485f-ad85-de7115173ed9_2021-07-02,99,Cavanillesia platanifolia,2021_07_02,294.59624670555695,001091,0.767625307,0.971170425
450,54cc22ba-640a-42b9-bae0-eb02554086cf_2018-08-27,50,Ceiba pentandra,2018_08_27,1046.4683223732263,003223,0.965403683,0.983621359
455,54cc22ba-640a-42b9-bae0-eb02554086cf_2022-12-28,50,Ceiba pentandra,2022_12_28,1107.0445911821428,003223,0.895461237,0.976575375
456,54cc22ba-640a-42b9-bae0-eb02554086cf_2023-03-28,60,Ceiba pentandra,2023_03_28,1118.1083139582752,003223,0.892570894,0.971432805
457,54cc22ba-640a-42b9-bae0-eb02554086cf_2023-04-04,99,Ceiba pentandra,2023_04_04,1182.2675471463824,003223,0.903215344,0.984920025
458,54cc22ba-640a-42b9-bae0-eb02554086cf_2023-05-23,100,Ceiba pentandra,2023_05_23,1141.3589879161634,003223,0.953679486,0.983334959
460,54cc22ba-640a-42b9-bae0-eb02554086cf_2023-10-31,99,Ceiba pentandra,2023_10_31,1177.3836254625653,003223,0.955096082,0.993450761
461,54cc22ba-640a-42b9-bae0-eb02554086cf_2024-01-03,93,Ceiba pentandra,2024_01_03,1151.647826044406,003223,0.959171774,0.979430676
462,54cc22ba-640a-42b9-bae0-eb02554086cf_2024-02-08,50,Ceiba pentandra,2024_02_08,1126.7417550557925,003223,0.939299056,0.979445517
463,54cc22ba-640a-42b9-bae0-eb02554086cf_2024-02-15,30,Ceiba pentandra,2024_02_15,1112.4495051362467,003223,0.94921164,0.998496056
487,5d38cc30-e80b-480a-8f86-89f86488416e_2023-03-28,50,Hura crepitans,2023_03_28,624.5478615946121,004052,0.940181855,0.963413239
488,5d38cc30-e80b-480a-8f86-89f86488416e_2023-04-04,25,Hura crepitans,2023_04_04,607.0545051776124,004052,0.945816934,0.978546977
489,5d38cc30-e80b-480a-8f86-89f86488416e_2023-05-02,30,Hura crepitans,2023_05_02,583.0614401343875,004052,0.926505592,0.976864219
490,5d38cc30-e80b-480a-8f86-89f86488416e_2023-05-23,65,Hura crepitans,2023_05_23,610.3754487,004052,0.922920784,0.99063468
493,60f88280-ea70-49e3-812f-79915e7c7882_2018-04-25,50,Dipteryx oleifera,2018_04_25,423.56163720657815,000684,0.845251813,0.97690165
495,60f88280-ea70-49e3-812f-79915e7c7882_2024-02-08,25,Dipteryx oleifera,2024_02_08,475.1043266057279,000684,0.882955306,0.967260003
496,60f88280-ea70-49e3-812f-79915e7c7882_2024-02-15,20,Dipteryx oleifera,2024_02_15,484.11454768762104,000684,0.881688233,0.968693137
500,65717afa-d1c9-4d4b-a93d-29359c2b3308_2023-05-23,3,Quararibea stenophylla,2023_05_23,118.02252142526798,003368,0.944218744,0.991960168
508,6bf8d1d5-9961-4b9f-a019-a8c31949f892_2018-04-04,15,Dipteryx oleifera,2018_04_04,559.1008736349086,007715,0.874332084,0.969512105
509,6bf8d1d5-9961-4b9f-a019-a8c31949f892_2018-04-25,15,Dipteryx oleifera,2018_04_25,634.6752200966073,007715,0.942768899,0.994418025
514,6bf8d1d5-9961-4b9f-a019-a8c31949f892_2022-04-27,60,Dipteryx oleifera,2022_04_27,647.7122137878999,007715,0.937976316,0.97685051
518,6bf8d1d5-9961-4b9f-a019-a8c31949f892_2023-03-28,50,Dipteryx oleifera,2023_03_28,678.7442601563346,007715,0.954681893,0.978015661
519,6bf8d1d5-9961-4b9f-a019-a8c31949f892_2023-04-04,30,Dipteryx oleifera,2023_04_04,679.2134578724332,007715,0.978260419,0.970220566
521,6bf8d1d5-9961-4b9f-a019-a8c31949f892_2023-05-23,99,Dipteryx oleifera,2023_05_23,698.4038460648056,007715,0.961362416,0.978612065
527,6bf8d1d5-9961-4b9f-a019-a8c31949f892_2024-02-08,98,Dipteryx oleifera,2024_02_08,686.2209562344959,007715,0.978254499,0.969939232
528,6bf8d1d5-9961-4b9f-a019-a8c31949f892_2024-02-15,96,Dipteryx oleifera,2024_02_15,704.7552816113542,007715,0.952372332,0.975250721
557,6d8feebe-e21b-4031-8b62-2c68228d16fa_2019-06-27,100,Ceiba pentandra,2019_06_27,1419.8176792903776,006740,0.952326136,0.990068197
558,6d8feebe-e21b-4031-8b62-2c68228d16fa_2019-10-17,98,Ceiba pentandra,2019_10_17,1363.4580964527775,006740,0.866471643,0.946094036
561,6d8feebe-e21b-4031-8b62-2c68228d16fa_2023-03-28,90,Ceiba pentandra,2023_03_28,1332.0655193713717,006740,0.958361394,0.972612262
562,6d8feebe-e21b-4031-8b62-2c68228d16fa_2023-04-04,60,Ceiba pentandra,2023_04_04,1286.2202308145586,006740,0.951990684,0.96998167
568,6d8feebe-e21b-4031-8b62-2c68228d16fa_2023-10-31,99,Ceiba pentandra,2023_10_31,1426.2330948196836,006740,0.93866216,0.978663325
574,6e63183c-d0d7-43bf-933f-45fde1c1dc1c_2024-02-15,15,Ceiba pentandra,2024_02_15,1491.136747761613,001158,0.944152371,0.956381321
582,730783de-759d-4035-9caa-f2e9305f2825_2022-12-28,85,Jacaranda copaia,2022_12_28,205.8173359398728,008412,0.944045326,0.992837548
583,730783de-759d-4035-9caa-f2e9305f2825_2023-10-31,90,Jacaranda copaia,2023_10_31,213.01170092430146,008412,0.982818517,0.986303687
586,73433e79-9f3f-4b44-b61a-d0f583311f22_2022-04-27,0,Cavanillesia platanifolia,2022_04_27,243.9259400739062,003661,0.942951278,0.994643569
591,737e2cb1-639d-4124-8935-d5bd039532ad_2023-05-23,20,Virola surinamensis,2023_05_23,114.58986281497299,213500,0.836769249,0.973141193
594,73e3e146-a5b2-4c79-8961-be8befe8b10e_2023-05-23,98,Hura crepitans,2023_05_23,479.37179050418814,003650,0.963072687,0.97399652
599,75e480c4-9d0a-44d2-94e5-6923db02a122_2019-05-31,50,Hura crepitans,2019_05_31,309.4013642587977,003765,0.958471102,0.976673126
601,75e480c4-9d0a-44d2-94e5-6923db02a122_2023-03-07,15,Hura crepitans,2023_03_07,328.6648757,003765,0.952617653,0.973778367
602,75e480c4-9d0a-44d2-94e5-6923db02a122_2024-02-08,30,Hura crepitans,2024_02_08,298.53060158273036,003765,0.91980306,0.979213238
608,76424c7c-518a-415d-bcb8-b8933683c2ed_2019-06-27,99,Cavanillesia platanifolia,2019_06_27,352.58481901793675,003628,0.956721257,0.981091321
611,76424c7c-518a-415d-bcb8-b8933683c2ed_2022-10-27,95,Cavanillesia platanifolia,2022_10_27,343.20898932568423,003628,0.806270431,0.963351488
612,76424c7c-518a-415d-bcb8-b8933683c2ed_2022-11-24,55,Cavanillesia platanifolia,2022_11_24,338.93847764315893,003628,0.90418722,0.974633992
613,76424c7c-518a-415d-bcb8-b8933683c2ed_2022-12-28,70,Cavanillesia platanifolia,2022_12_28,352.69043928286334,003628,0.911562525,0.958833098
624,7a691145-22f8-4e83-8937-7eafda96105d_2018-04-04,70,Zanthoxylum ekmanii,2018_04_04,190.08702548680373,400443,0.581461257,0.947052956
626,7b1093f4-9125-48a7-9f2a-1f0ed86fb1fc_2023-05-23,0,Handroanthus guayacan,2023_05_23,249.29327704304666,006348,0.964822435,0.970344782
630,7b4adf56-f007-4162-ae53-e303a39d2de5_2018-04-04,99,Virola surinamensis,2018_04_04,176.32998594945906,008176,0.785149016,0.966329813
636,7cbaf8b7-7169-4c36-aea8-a37e8ea6d536_2019-05-31,100,Tetragastris panamensis,2019_05_31,22.044168034714914,008399,0.792063429,0.98861587
638,7f8e87ed-d5ff-42a8-8007-ce777257cf68_2022-04-27,85,Platypodium elegans,2022_04_27,156.90499737481326,003946,0.843445813,0.994643569
645,80acabb6-ad48-4799-80bc-1a4c0fd71656_2022-11-24,4,Ceiba pentandra,2022_11_24,560.4455008564687,004146,0.937038634,0.98271358
646,80acabb6-ad48-4799-80bc-1a4c0fd71656_2022-12-28,3,Ceiba pentandra,2022_12_28,568.2045280283116,004146,0.95874657,0.95475769
648,80acabb6-ad48-4799-80bc-1a4c0fd71656_2023-11-27,5,Ceiba pentandra,2023_11_27,569.6050121209249,004146,0.969476284,0.956353366
650,80acabb6-ad48-4799-80bc-1a4c0fd71656_2024-02-08,100,Ceiba pentandra,2024_02_08,607.2626989693766,004146,0.951852646,0.981194556
651,81045a73-c805-4f6c-9115-9fd7ee103bf0_2023-06-13,60,Tabebuia rosea,2023_06_13,239.80065625557518,002603,0.870542778,0.986777544
654,81999dbd-1379-4dcb-9d85-3362649f7abc_2023-05-02,10,Dipteryx oleifera,2023_05_02,365.1810512179624,002619,0.927603218,0.983181357
655,81999dbd-1379-4dcb-9d85-3362649f7abc_2023-10-31,95,Dipteryx oleifera,2023_10_31,425.5389704401827,002619,0.947245988,0.985696316
656,81999dbd-1379-4dcb-9d85-3362649f7abc_2023-12-05,90,Dipteryx oleifera,2023_12_05,376.9891937473325,002619,0.923348833,0.974675536
665,84d91708-fdbc-44a6-b2fc-37ecb486dd10_2023-04-04,95,Luehea seemannii,2023_04_04,186.70514584265445,003999,0.933701972,0.965730786
666,84d91708-fdbc-44a6-b2fc-37ecb486dd10_2023-05-23,15,Luehea seemannii,2023_05_23,167.48530395618295,003999,0.947726967,0.971607685
674,863c2193-248a-4de0-bf32-d1395a91147e_2023-03-28,5,Hura crepitans,2023_03_28,299.4395452106279,004669,0.932819031,0.960832715
675,863c2193-248a-4de0-bf32-d1395a91147e_2023-04-04,7,Hura crepitans,2023_04_04,308.254775,004669,0.942939711,0.965730786
679,885e5ddb-25d8-474d-9010-30ec51bc7494_2023-03-07,100,Quararibea stenophylla,2023_03_07,78.10517050794672,003402,0.936682699,0.979459643
691,9083daef-9855-4d4d-a78f-e17f06ad2ada_2023-10-31,99,Ceiba pentandra,2023_10_31,595.1773032,005027,0.945686352,0.987782359
693,909896cf-378e-4a6c-9d2f-a0b058b1c492_2023-04-04,50,Tabebuia rosea,2023_04_04,312.84519425107544,006376,0.859978824,0.96998167
694,909896cf-378e-4a6c-9d2f-a0b058b1c492_2023-05-23,50,Tabebuia rosea,2023_05_23,288.9547021,006376,0.943878253,0.970344782
695,909896cf-378e-4a6c-9d2f-a0b058b1c492_2023-06-13,47,Tabebuia rosea,2023_06_13,271.99147880226224,006376,0.850313856,0.984576821
702,922bf85b-f020-438d-91b7-86a2b5645b25_2018-04-25,45,Dipteryx oleifera,2018_04_25,375.3409082629853,007221,0.888016119,0.994418025
703,922bf85b-f020-438d-91b7-86a2b5645b25_2019-04-24,0,Dipteryx oleifera,2019_04_24,381.10432177091036,007221,0.888690093,0.96542716
706,922bf85b-f020-438d-91b7-86a2b5645b25_2023-04-04,0,Dipteryx oleifera,2023_04_04,368.49488703752377,007221,0.961470713,0.954283297
707,922bf85b-f020-438d-91b7-86a2b5645b25_2023-09-19,98,Dipteryx oleifera,2023_09_19,477.12025185940126,007221,0.953767348,0.996585369
725,956396f0-265d-4b40-a637-ec6c91b799c9_2023-03-07,32,Hura crepitans,2023_03_07,602.3340917876919,004700,0.825740624,0.994529366
727,956396f0-265d-4b40-a637-ec6c91b799c9_2023-04-04,4,Hura crepitans,2023_04_04,565.5487877071527,004700,0.946316168,0.962205172
728,956396f0-265d-4b40-a637-ec6c91b799c9_2023-05-02,90,Hura crepitans,2023_05_02,596.7991837,004700,0.940529258,0.98546958
732,956396f0-265d-4b40-a637-ec6c91b799c9_2024-02-15,5,Hura crepitans,2024_02_15,611.4621200884619,004700,0.84627977,0.971684217
736,99bf53ec-5a88-4124-bb65-68d4a180c760_2023-04-04,10,Hura crepitans,2023_04_04,593.8854861546592,004203,0.943225363,0.978546977
737,9adf88db-a296-4aca-a8dc-3c6ed9493244_2022-04-27,80,Zanthoxylum ekmanii,2022_04_27,264.31674472651747,106463,0.744040507,0.971189857
772,a0e634f1-304c-4f41-ab44-9d0b75eb4906_2018-04-04,49,Zanthoxylum ekmanii,2018_04_04,148.9174648219456,239470,0.728897517,0.970447898
779,a230d4dd-a9f9-4aa0-8432-ae08e0067648_2023-05-02,3,Dipteryx oleifera,2023_05_02,200.80443566222965,138502,0.939201745,0.981157184
784,a230d4dd-a9f9-4aa0-8432-ae08e0067648_2024-02-08,99,Dipteryx oleifera,2024_02_08,245.89007077396133,138502,0.907363316,0.981466651
786,a30c93d4-9c1c-461d-8690-be2592f775ff_2019-04-24,0,Dipteryx oleifera,2019_04_24,669.0850838,007114,0.832213722,0.985321522
787,a30c93d4-9c1c-461d-8690-be2592f775ff_2023-10-31,97,Dipteryx oleifera,2023_10_31,703.3111276007797,007114,0.883964987,0.975401878
789,a366d4f8-2abc-4a52-aefe-20f8466233db_2018-04-25,80,Dipteryx oleifera,2018_04_25,424.34871129823296,006058,0.855808957,0.979302764
793,a366d4f8-2abc-4a52-aefe-20f8466233db_2023-05-02,45,Dipteryx oleifera,2023_05_02,539.2168431385511,006058,0.958661273,0.965432346
798,a42f8633-4ba9-41af-b907-f44ea6c492af_2018-04-04,10,Dipteryx oleifera,2018_04_04,606.0308011,007173,0.797513888,0.956394911
799,a42f8633-4ba9-41af-b907-f44ea6c492af_2018-04-25,0,Dipteryx oleifera,2018_04_25,533.8017733899923,007173,0.818252917,0.982599258
805,a42f8633-4ba9-41af-b907-f44ea6c492af_2024-02-08,90,Dipteryx oleifera,2024_02_08,653.5964812527409,007173,0.935851816,0.980916142
806,a42f8633-4ba9-41af-b907-f44ea6c492af_2024-02-15,65,Dipteryx oleifera,2024_02_15,614.4834690203373,007173,0.90865234,0.987905383
812,a9fbce15-5d86-432a-93a4-9ee6f0bfb19e_2018-08-27,90,Alseis blackiana,2018_08_27,289.68490437557824,008305,0.953409101,0.973317981
813,a9fbce15-5d86-432a-93a4-9ee6f0bfb19e_2019-10-17,75,Alseis blackiana,2019_10_17,280.3060279452327,008305,0.95597952,0.980417132
819,abbce072-cfe2-4739-824b-e74db6904286_2024-02-08,98,Jacaranda copaia,2024_02_08,95.81179861,007633,0.926601942,0.985808492
823,affa2f29-d645-45c9-aa38-2f2d9fc63456_2023-10-03,99,Tachigali panamensis,2023_10_03,515.0490984265965,152868,0.974633755,0.984015346
827,b0e0daf6-3d04-4565-ad3f-42b83e21c188_2019-06-27,100,Ceiba pentandra,2019_06_27,922.1380365856274,004092,0.979053521,0.97885561
834,b0e0daf6-3d04-4565-ad3f-42b83e21c188_2023-03-07,95,Ceiba pentandra,2023_03_07,956.3762673497554,004092,0.938601987,0.973310709
835,b0e0daf6-3d04-4565-ad3f-42b83e21c188_2023-03-28,85,Ceiba pentandra,2023_03_28,887.5047454076002,004092,0.959934795,0.978476644
870,b3a785e1-c8d4-4a44-9775-4048d4827e2d_2022-04-27,80,Cordia alliodora,2022_04_27,154.35487731874628,002296,0.882356381,0.980401099
872,b5133434-1910-4069-9e34-899fac89dea3_2020-09-21,99,Ceiba pentandra,2020_09_21,1154.0720142458158,001993,0.875190759,0.989810944
873,b5133434-1910-4069-9e34-899fac89dea3_2021-07-02,90,Ceiba pentandra,2021_07_02,1295.0374917967704,001993,0.916115833,0.976097226
874,b5133434-1910-4069-9e34-899fac89dea3_2022-10-27,70,Ceiba pentandra,2022_10_27,1304.123881339183,001993,0.863625403,0.958546162
878,b5133434-1910-4069-9e34-899fac89dea3_2023-09-12,98,Ceiba pentandra,2023_09_12,1323.7397988542957,001993,0.795909643,0.992865205
881,b5c7e66c-b3f3-4728-be7b-69f829d2117f_2023-04-04,90,Luehea seemannii,2023_04_04,304.3254980543501,006962,0.929029662,0.980970979
882,b5c7e66c-b3f3-4728-be7b-69f829d2117f_2023-05-23,50,Luehea seemannii,2023_05_23,304.93078275480536,006962,0.894130062,0.980486631
883,b64d553c-5249-4054-92c2-17f38034c737_2018-04-04,40,Dipteryx oleifera,2018_04_04,520.3879997143973,007927,0.835386599,0.982907414
884,b64d553c-5249-4054-92c2-17f38034c737_2018-04-25,15,Dipteryx oleifera,2018_04_25,437.58171182745383,007927,0.857696672,0.988269329
886,b64d553c-5249-4054-92c2-17f38034c737_2019-10-17,100,Dipteryx oleifera,2019_10_17,532.3972269790077,007927,0.930263586,0.983006597
890,b64d553c-5249-4054-92c2-17f38034c737_2023-03-28,40,Dipteryx oleifera,2023_03_28,554.3154632,007927,0.938206492,0.981574178
891,b64d553c-5249-4054-92c2-17f38034c737_2023-04-04,25,Dipteryx oleifera,2023_04_04,532.1423165317605,007927,0.875750228,0.940073133
898,b64d553c-5249-4054-92c2-17f38034c737_2024-02-08,98,Dipteryx oleifera,2024_02_08,546.9261069,007927,0.962997715,0.984801888
899,b64d553c-5249-4054-92c2-17f38034c737_2024-02-15,98,Dipteryx oleifera,2024_02_15,538.8441254720082,007927,0.926659584,0.973859429
908,ba2edd69-82d8-446b-aa02-91cf32cc991a_2023-03-28,10,Hura crepitans,2023_03_28,434.39685460080125,002645,0.932836314,0.968175054
929,be0b17ba-8406-4b73-a08d-995eb8107546_2022-04-27,100,Quararibea stenophylla,2022_04_27,61.566458794846014,001862,0.918222909,0.981584907
